Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Utilities/100000/fromList,2.6672758937889038e-3,2.515320398390631e-3,2.87643230573234e-3,5.582350099210612e-4,4.202750232980136e-4,7.870293016521304e-4
Utilities/100000/toList,2.9423543812440267e-3,2.8981321922357207e-3,3.026937404310888e-3,1.890319982144888e-4,1.143102422409107e-4,3.2861803317334073e-4
Utilities/1000000/at',2.4590231269401358e-3,2.454486079410825e-3,2.4655290267981624e-3,1.6878153128501737e-5,1.3739335853348601e-5,2.3844059280435294e-5
Utilities/1000000/insert,4.014636726136345e-3,4.007165293501399e-3,4.027024926481628e-3,3.0637849817307045e-5,2.19272286585694e-5,4.8720130837966154e-5
Utilities/1000000/delete,2.359877495514612e-3,2.3566646333065744e-3,2.3630564660418827e-3,1.070639425590287e-5,9.185170899143479e-6,1.2303980261695567e-5
Utilities/1000000/lookup,2.4078008348572258e-3,2.4039489924587666e-3,2.412626888104086e-3,1.3994435884143378e-5,1.1450723023270394e-5,1.8154322320347712e-5
Utilities/1000000/lookup',2.436286053428426e-3,2.4322960847239735e-3,2.442085839118424e-3,1.685740522829743e-5,1.183105983370414e-5,2.775336195667938e-5
Utilities/1000000/lookupIndex,2.277631277571108e-3,2.273460411482701e-3,2.2827937625837917e-3,1.5618837666201894e-5,1.3303608509985559e-5,2.1724384834577962e-5
Utilities/1000000/null,5.890527359420102e-9,5.739100943957048e-9,5.977535741289844e-9,3.615869035898788e-10,2.56327131632324e-10,5.039381378305672e-10
Utilities/1000000/length,6.4946954923512744e-9,6.38940640330663e-9,6.535809602154295e-9,2.2669408776905004e-10,7.302339092973336e-11,4.211385490980336e-10
Utilities/1000000/size,5.841103779546308e-9,5.662104461824458e-9,6.025411971951116e-9,6.030660958906693e-10,5.22743488713068e-10,6.990218740840723e-10
Utilities/1000000/member,2.2901944140088903e-3,2.2867117975997673e-3,2.2950143882315525e-3,1.3411146769711238e-5,1.0481449658744994e-5,1.8587409647742286e-5
Utilities/1000000/findWithDefault,2.4224564227738063e-3,2.418049239822276e-3,2.4294500142784427e-3,1.7306989672577535e-5,1.257600367765715e-5,2.3226808071262645e-5
Utilities/1000000/upsert,9.740271993208293e-3,9.716068768231553e-3,9.770614269249332e-3,7.1127343018137e-5,5.2306535207409834e-5,9.819336853973057e-5
Utilities/1000000/alter,6.717599543450785e-3,6.706572189030866e-3,6.7344055760466225e-3,3.8837082112855084e-5,2.7180852871116833e-5,5.417485978971991e-5
Utilities/1000000/alterM,6.6665933600959185e-3,6.649189201508039e-3,6.68585634334892e-3,5.296503456838353e-5,4.331269575494059e-5,6.270541663379713e-5
Utilities/1000000/union,2.5798049602704088e-2,2.3714180252520964e-2,2.9476137735778063e-2,6.3234643205559785e-3,3.682397765651517e-3,9.452455493416815e-3
Utilities/1000000/difference,6.401588312831208e-2,6.260641064623068e-2,6.639580928368936e-2,3.362264882307253e-3,1.7694708655856435e-3,5.569576993582116e-3
Utilities/1000000/intersection,0.1003431909012506,9.12854957353033e-2,0.10535882838808305,1.1635974780578023e-2,2.2464721433707834e-3,2.1311566056817766e-2
Utilities/1000000/fromList,3.474332880623061e-2,3.309518878014333e-2,3.568959807725471e-2,2.497230937410042e-3,1.4704499491403709e-3,4.032968763721831e-3
Utilities/1000000/toList,6.676242264986171e-2,6.2355265660197334e-2,7.60738547051777e-2,1.0195140780607534e-2,5.637073367357237e-3,1.5213606855185568e-2
